"Cultivar","GCM","SSP","Time","earliest_bloom","median_bloom","latest_bloom","mean_frost0","mean_frost2.2","mean_Tmean","mean_Tmin","mean_Tmax","frost0_5plus","frost0_1plus","frost2.2_5plus","frost2.2_1plus"
"Bing","EC-Earth3-Veg-LR","SSP2","2085",83,105,122,2.16161616161616,0.787878787878788,12.9100141567187,1.07292929292929,24.8718181818182,16,6,29,11
"Bing","FGOALS-g3","SSP2","2085",85,104,123,2.01010101010101,0.717171717171717,13.1259638047138,1.29131313131313,25.1243434343434,15,5,25,12
"Bing","FIO-ESM-2-0","SSP2","2085",83,104,124,2.14141414141414,0.646464646464647,13.1743931741659,1.52292929292929,25.3507070707071,16,5,28,11
"Bing","GFDL-ESM4","SSP2","2085",83,103,120,2.26262626262626,0.808080808080808,13.2834867615549,1.38707070707071,25.5535353535354,16,6,27,13
"Bing","HadGEM3-GC31-LL","SSP2","2085",85,111,156,1.16161616161616,0.333333333333333,13.9270531068258,1.79787878787879,26.3929292929293,8,4,23,6
"Bing","INM-CM4-8","SSP2","2085",85,106,124,2.17171717171717,0.666666666666667,12.8601947505357,0.863333333333333,25.0933333333333,17,5,34,12
"Bing","INM-CM5-0","SSP2","2085",82,103,123,3.57575757575758,1.33333333333333,12.0170060453015,0.486161616161616,23.689595959596,22,8,39,18
"Bing","IPSL-CM6A-LR","SSP2","2085",87,109,130,1.09090909090909,0.212121212121212,13.2980176767677,1.80141414141414,24.9838383838384,8,1,23,5
"Bing","MIROC6","SSP2","2085",83,103,122,4.49494949494949,1.88888888888889,12.379859580655,-0.130505050505051,25.099696969697,25,11,47,24
"Bing","MPI-ESM1-2-LR","SSP2","2085",84,105,123,2.55555555555556,0.96969696969697,12.515988674625,0.857676767676768,24.3457575757576,12,6,30,9
"Bing","MRI-ESM2-0","SSP2","2085",86,106,125,3.39393939393939,1.13131313131313,12.2520783593511,-0.111818181818182,24.6234343434343,22,9,53,19
"Bing","NESM3","SSP2","2085",88,109,127,0.818181818181818,0.222222222222222,14.1203202479339,2.38151515151515,26.1232323232323,7,2,16,6
"Bing","ACCESS-CM2","SSP3","2085",0,117,175,0.555555555555556,0.191919191919192,15.8621181512091,3.90292929292929,28.1516161616162,6,2,9,4
"Bing","AWI-CM-1-1-MR","SSP3","2085",0,111,162,0.313131313131313,0.0303030303030303,15.5273519283747,5.03181818181818,26.4276767676768,4,0,8,1
"Bing","CNRM-CM6-1-HR","SSP3","2085",0,110,134,1.38383838383838,0.414141414141414,14.2807981328436,2.22848484848485,26.3831313131313,11,4,19,8
"Bing","CNRM-ESM2-1","SSP3","2085",88,108,123,1.39393939393939,0.313131313131313,13.0342760942761,1.69181818181818,24.6687878787879,11,2,24,5
"Bing","EC-Earth3-AerChem","SSP3","2085",88,111,139,1.43434343434343,0.515151515151515,13.8720527242118,2.25505050505051,25.6279797979798,10,6,22,9
"Bing","EC-Earth3-Veg-LR","SSP3","2085",85,107,134,1.04040404040404,0.272727272727273,14.0103477961432,2.29222222222222,25.5990909090909,10,2,19,7
"Bing","FGOALS-g3","SSP3","2085",84,104,128,1.81818181818182,0.545454545454545,13.2308490205081,1.51848484848485,25.4752525252525,13,6,25,10
"Bing","GFDL-ESM4","SSP3","2085",84,106,132,1.47474747474747,0.303030303030303,13.9158425160698,1.47252525252525,26.8046464646465,11,2,27,7
"Bing","INM-CM4-8","SSP3","2085",85,105,122,1.8989898989899,0.616161616161616,13.1441004744414,1.83383838383838,24.8262626262626,13,5,20,11
"Bing","INM-CM5-0","SSP3","2085",82,105,128,2.84848484848485,1,12.5971453168044,0.883030303030303,24.2559595959596,15,7,34,12
"Bing","IPSL-CM6A-LR","SSP3","2085",90,113,170,0.636363636363636,0.181818181818182,14.5808704468932,2.84434343434343,26.5829292929293,4,2,18,6
"Bing","MIROC6","SSP3","2085",83,103,133,2.09090909090909,0.838383838383838,13.5174904346495,1.55,25.780202020202,12,6,24,10
"Bing","MPI-ESM1-2-LR","SSP3","2085",84,105,127,1.46464646464646,0.252525252525253,13.0966509794919,1.7850505050505,24.4485858585859,10,2,25,7
"Bing","MRI-ESM2-0","SSP3","2085",86,107,123,1.7979797979798,0.404040404040404,12.7898626415672,1.05969696969697,24.9483838383838,11,2,35,8
"Bing","ACCESS-CM2","SSP5","2085",0,120,169,3.43434343434343,1.63636363636364,15.4118828435874,3.44838383838384,27.5378787878788,10,8,15,11
"Bing","AWI-CM-1-1-MR","SSP5","2085",0,119,163,2.04040404040404,0.909090909090909,15.1735372666054,5.23808080808081,25.540202020202,6,2,10,2
"Bing","CIESM","SSP5","2085",0,116,175,4.12121212121212,1.74747474747475,14.9393487909397,2.15424242424242,27.7460606060606,14,8,24,15
"Bing","CMCC-ESM2","SSP5","2085",0,115,173,1.46464646464646,0.505050505050505,15.420463345577,3.5020202020202,27.5959595959596,8,3,11,4
"Bing","CNRM-CM6-1-HR","SSP5","2085",0,116,175,0.848484848484849,0.0808080808080808,15.5105743036425,3.53959595959596,27.6162626262626,8,1,16,2
"Bing","CNRM-ESM2-1","SSP5","2085",90,111,128,1.2020202020202,0.393939393939394,13.8146816651362,1.99888888888889,25.9793939393939,10,4,20,8
"Bing","EC-Earth3-CC","SSP5","2085",0,115,180,1.19191919191919,0.414141414141414,14.8510093357821,3.2740404040404,26.6383838383838,7,5,12,5
"Bing","EC-Earth3-Veg-LR","SSP5","2085",0,118,178,0.707070707070707,0.131313131313131,14.9231014692378,3.56959595959596,26.2929292929293,7,1,12,4
"Bing","FGOALS-g3","SSP5","2085",83,103,142,1.5959595959596,0.474747474747475,14.0972949188858,1.90313131313131,26.1085858585859,11,4,24,12
"Bing","FIO-ESM-2-0","SSP5","2085",88,110,159,0.646464646464647,0.171717171717172,15.0913207835935,3.31959595959596,27.1592929292929,4,2,13,5
"Bing","GFDL-ESM4","SSP5","2085",84,104,141,1.56565656565657,0.606060606060606,14.1022317875727,2.03979797979798,25.9678787878788,10,4,23,10
"Bing","HadGEM3-GC31-LL","SSP5","2085",0,125,181,5.12121212121212,2.12121212121212,15.6220393327212,3.92232323232323,27.1645454545455,11,10,13,12
"Bing","HadGEM3-GC31-MM","SSP5","2085",0,120,177,3.37373737373737,1.04040404040404,15.420403275176,3.60919191919192,27.1059595959596,12,7,16,11
"Bing","INM-CM4-8","SSP5","2085",84,104,129,1.5050505050505,0.464646464646465,13.6557633149679,1.96121212121212,25.6627272727273,12,4,21,10
"Bing","INM-CM5-0","SSP5","2085",84,106,129,1.97979797979798,0.454545454545455,13.053164600551,1.33606060606061,24.9672727272727,12,3,28,8
"Bing","IPSL-CM6A-LR","SSP5","2085",0,111,174,5.46464646464646,2.48484848484848,14.7112228344047,3.90313131313131,25.7732323232323,17,11,18,13
"Bing","MIROC6","SSP5","2085",83,104,142,1.51515151515152,0.424242424242424,14.3215507346189,2.16151515151515,26.5520202020202,11,4,25,9
"Bing","MPI-ESM1-2-LR","SSP5","2085",87,110,132,1.27272727272727,0.383838383838384,13.8976710284665,2.27858585858586,25.5921212121212,11,4,22,7
"Bing","MRI-ESM2-0","SSP5","2085",85,104,123,2.37373737373737,0.808080808080808,13.1734737526783,0.968686868686869,25.4828282828283,18,5,31,13
"Bing","NESM3","SSP5","2085",0,118,174,1.78787878787879,0.595959595959596,16.396713728191,4.53292929292929,28.4316161616162,9,3,10,5
